# critic re-read of P5-PAINT 16x16 (lane dev :4238, tree = pass5.diff on 74a2b5d9); cols: engine theme op hex on n | vsOff max/p30/median/worst/fracUnder3 | isTheRing delta | sensitivity
## live chromium payload ATQuMDAzMDA2MDgwMGIwZDAwZzA2MDgwMGIwZDAwZzAyMDAwMGIwZDAwZzAyMDA1MDcwZDAwZzAyMDA1MDcwMGEwYzAzMDA2MDgwMGIwZDAwZzA2MDgwMGIwZDAwZzAyMDA1MGIwZDAwZzAyMDA1MDcwMDAwZzAyMDA1MDcwMGEwYzAzMDA2MDgwMGIwZDAwZzAyMDgwMGIwZDAwZzAyMDA1MGIwZDAwZzAyMDA1MDcwMGEwZzAyMDA1MDcwMGEwYzAwMDA2MDgwMGIwZDAwZzAyMDgwMGIwZDAwZzAyMDA1MDcwZDAwZzAyMDA1MDcwMGEwZzAyMDA1MDcwMGEwYzAwZg given 102
## prm webkit payload ATQuMDAzMDA2MDgwMGIwZDAwZzA2MDgwMGIwZDAwZzAyMDAwMGIwZDAwZzAyMDA1MDcwZDAwZzAyMDA1MDcwMGEwYzAzMDA2MDgwMGIwZDAwZzA2MDgwMGIwZDAwZzAyMDA1MGIwZDAwZzAyMDA1MDcwMDAwZzAyMDA1MDcwMGEwYzAzMDA2MDgwMGIwZDAwZzAyMDgwMGIwZDAwZzAyMDA1MGIwZDAwZzAyMDA1MDcwMGEwZzAyMDA1MDcwMGEwYzAwMDA2MDgwMGIwZDAwZzAyMDgwMGIwZDAwZzAyMDA1MDcwZDAwZzAyMDA1MDcwMGEwZzAyMDA1MDcwMGEwYzAwZg given 102
webkit light 0.95 #3a7bc4 FRAME n=60 | 3.965/3.92/3.965/2.85/0.1 | true 1.414 | 50%:2.028(50/60) 70%:2.497(2/54) 90%:3.577(0/48) 100%:3.965(0/39)
webkit light 0.95 #3a7bc4 paper n=60 | 3.965/3.965/3.965/3.965/0 | true 1.414 | 50%:1.888(18/60) 70%:3.216(0/60) 90%:3.4(0/60) 100%:3.965(0/60)
webkit light 0.95 #4589d2 FRAME n=60 | 3.389/3.353/3.353/2.788/0.067 | true 1.414 | 50%:1.492(43/60) 70%:2.257(35/60) 90%:3.106(0/47) 100%:3.353(0/39)
webkit light 0.95 #4589d2 paper n=60 | 3.353/3.353/3.353/3.353/0 | true 1.414 | 50%:1.754(21/60) 70%:2.766(11/60) 90%:2.929(5/60) 100%:3.353(0/60)
webkit light 1 #3a7bc4 FRAME n=60 | 4.289/4.289/4.289/2.98/0.1 | true 0 | 50%:2.104(49/60) 70%:2.653(1/54) 90%:3.627(0/48) 100%:4.289(0/43)
webkit light 1 #3a7bc4 paper n=60 | 4.289/4.289/4.289/4.289/0 | true 0 | 50%:1.956(18/60) 70%:3.471(0/60) 90%:3.632(0/60) 100%:4.289(0/60)
webkit light 1 #4589d2 FRAME n=60 | 3.581/3.581/3.581/2.891/0.067 | true 0 | 50%:1.756(34/60) 70%:2.386(24/60) 90%:3.12(0/47) 100%:3.581(0/43)
webkit light 1 #4589d2 paper n=60 | 3.581/3.581/3.581/3.581/0 | true 0 | 50%:1.798(19/60) 70%:2.948(1/60) 90%:3.12(0/60) 100%:3.581(0/60)
webkit dark 0.95 #3a7bc4 FRAME n=60 | 3.997/3.989/3.997/2.404/0.1 | true 1 | 50%:1.459(51/60) 70%:2.625(1/54) 90%:3.492(0/48) 100%:3.997(0/39)
