ben,psu-id,psu-name,bw,discount,cost,bucket
16051603,11B,ArtSpace Charter School,250,60,17052,4
16057876,79A,Bethany Community School,500,50,23556,4
17020432,61V,Bonnie Cone Classical Academy,250,40,17052,4
16050429,65A,Cape Fear Center for Inquiry,250,50,17052,4
234250,01C,Clover Garden,250,50,17052,4
17013560,65F,American Leadership Academy-Coastal,250,40,17052,4
16079109,92S,Endeavor Charter School,250,20,14664,5
16076992,92Y,Envision Science Academy,250,40,14664,4
210064,11A,Evergreen Community Charter,250,40,17052,4
17016570,41N,The Experiential School of Greensboro,250,40,17052,4
16084237,92B,The Exploris School,250,40,12768,4
16051980,01D,The Hawbridge School,250,50,17052,4
16075724,61J,Lakeside Charter Academy,250,40,17052,4
17010848,61Q,Mallard Creek STEM Academy,250,50,17052,4
17017392,61X,Jackson Day School,500,40,23556,4
16072427,23A,Pinnacle Classical Academy,250,40,17052,4
16075709,60Y,Pioneer Springs Community School,250,40,17052,4
17021357,62J,Southwest Charlotte STEM Academy,250,40,17052,4
16076915,61L,Stewart Creek High,250,90,17052,4
16075839,43C,Anderson Creek Academy,250,50,14664,4
16065257,19A,Chatham Charter,500,50,20472,4
17013561,09B,Emereau: Bladen,250,60,14664,4
17021032,42B,Hobgood Charter School,250,50,14664,4
16084046,70A,Northeast Academy of Aerospace & AdvTech,500,70,20472,4
16053511,92P,Southern Wake Academy,500,40,20472,4
228150,88A,Brevard Academy,250,50,16620,4
16071041,32N,Research Triangle High School,500,50,17256,4
16072431,76A,Uwharrie Charter Academy,1000,50,25836,4
16076939,60S,Bradford Preparatory School,500,40,17484,4
16046571,92R,Casa Esperanza Montessori Charter School,500,40,17484,4
17013904,93N,Pine Springs Preparatory Academy,500,40,17484,4
16062043,60J,Socrates Academy,250,40,12708,4
16038382,90A,Union Academy,1000,40,26796,4
16034706,68A,Eno River Academy,500,40,20472,4
16072424,34H,NC Leadership Charter Academy,500,50,23556,4
16084048,61N,TMSA Charlotte,500,40,23556,4
16072417,24B,Thomas Academy,250,90,14664,4
17026541,11F,Asheville PEAK Academy,250,20,17052,5
17029020,78C,Old Main STREAM Academy,250,25,17052,5
17023661,65H,Wilmington School of the Arts,250,80,17052,4
17023492,43D,Achievement Charter Academy,250,60,12708,4
17027726,80C,Faith Academy Charter School,250,50,12708,4
17026081,16B,Tiller School,250,25,14664,5
17013565,62K,Movement School Eastland,250,80,17052,4
17026049,92N,Quest Academy,250,40,17052,4
17024092,41Q,Revolution Academy,250,50,17052,4
17026510,61S,Unity Classical Charter School,250,40,17052,4
17030383,53D,Central Carolina Academy,250,20,12708,5
17026203,62L,Telra Institute,250,40,12708,4
17030488,51C,American Leadership Academy - Johnston,500,90,20472,4
17023985,53C,MINA Charter School of Lee County,250,20,16968,5
17023421,01F,Alamance Community School,250,70,17052,4
17030719,62P,Movement School Southwest,250,80,17052,4
17030973,14B,Oak Hill Charter School,250,80,17052,4
17030477,93Y,The Math and Science Academy of Apex,500,70,23556,4
17034011,13F,Dogwood Classical Academy,,40,12708,5
17033154,62N,Aspire Trade High School,,40,12708,5
17033868,62M,Bonnie Cone Leadership Academy,,40,12708,5
17027915,35C,Wake Preparatory Academy,500,60,20472,4
