engine	dpr	strip	arm	size	photo_delta	cov	skel_med_dev	max_over_med	stroke_over_h	apertures	paper_regions	tile_rgb	tile_on_strip	core_median	sub45_n	frac_under45	frac_under3	blur_sigma
chromium	1	light-active	W	32	0.000	0.227	4.000	1.118	0.167	None	1	[251, 250, 249]	1.042	18.991	66	0.228	0.183	0.150
chromium	1	light-active	W	48	0.000	0.228	6.000	1.202	0.167	None	1	[251, 250, 249]	1.042	18.991	91	0.149	0.118	
chromium	1	light-active	fable	16	0.000	0.193	2.000	1.414	0.154	[2, 4]	1	[251, 250, 249]	1.042	16.522	28	0.378	0.284	0.150
chromium	1	light-active	fable	180	0.000	0.194	22.361	1.073	0.157	None	1	[251, 250, 249]	1.042	18.991	306	0.046	0.035	
chromium	1	light-active	fable	32	0.000	0.192	4.000	1.118	0.160	None	1	[251, 250, 249]	1.042	18.991	57	0.228	0.180	0.150
chromium	1	light-active	fable	48	0.000	0.194	6.000	1.202	0.158	None	1	[251, 250, 249]	1.042	18.991	82	0.157	0.126	
chromium	1	light-active	main	16	0.000	0.521	2.828	2.236	0.202	[2, 2]	2	[250, 248, 245]	1.060	16.077	50	0.289	0.202	0
chromium	1	light-active	main	180	0.000	0.522	27.857	2.315	0.170	None	2	[250, 248, 245]	1.060	16.077	531	0.030	0.024	
chromium	1	light-active	main	32	0.000	0.520	5.657	2.236	0.195	None	1	[250, 248, 245]	1.060	16.077	101	0.163	0.126	0
chromium	1	light-active	main	48	0.000	0.522	8.000	2.151	0.182	None	1	[250, 248, 245]	1.060	16.077	138	0.104	0.080	
chromium	1	light-active	opus	16	0.000	0.251	2.000	1.414	0.182	[2, 2]	1	[251, 250, 249]	1.042	18.387	35	0.372	0.277	0.150
chromium	1	light-active	opus	180	0.000	0.254	22.091	1.056	0.180	None	1	[251, 250, 249]	1.042	18.991	440	0.051	0.041	
chromium	1	light-active	opus	32	0.000	0.251	4.000	1.118	0.182	None	1	[251, 250, 249]	1.042	18.991	65	0.206	0.162	0.150
chromium	1	light-active	opus	48	0.000	0.253	6.000	1.202	0.182	None	1	[251, 250, 249]	1.042	18.991	112	0.164	0.128	
chromium	1	light-strip	B	16	0.000	0.285	2.828	1.414	0.236	[2, 3]	1	[251, 250, 249]	1.258	18.991	37	0.352	0.295	0
chromium	1	light-strip	B	180	0.000	0.290	27.785	1.048	0.198	None	1	[251, 250, 249]	1.258	18.991	364	0.037	0.030	
chromium	1	light-strip	B	32	0.000	0.289	5.657	1.061	0.236	None	1	[251, 250, 249]	1.258	18.991	75	0.208	0.158	0.150
chromium	1	light-strip	B	48	0.000	0.289	8.000	1.061	0.211	None	1	[251, 250, 249]	1.258	18.991	104	0.136	0.107	
chromium	1	light-strip	P	16	0.000	0.223	2.000	2.000	0.167	[3, 4]	1	[251, 250, 249]	1.258	14.704	33	0.379	0.264	
chromium	1	light-strip	P	180	0.000	0.228	16.125	2.166	0.119	None	1	[251, 250, 249]	1.258	18.991	421	0.054	0.044	
chromium	1	light-strip	P	32	0.000	0.229	2.828	2.550	0.118	None	1	[251, 250, 249]	1.258	18.991	68	0.231	0.180	
chromium	1	light-strip	P	48	0.000	0.227	4.472	2.236	0.124	None	1	[251, 250, 249]	1.258	18.991	103	0.166	0.129	
chromium	1	light-strip	W	16	0.000	0.226	2.000	1.414	0.167	[3, 3]	1	[251, 250, 249]	1.258	17.896	33	0.375	0.295	0.150
chromium	1	light-strip	W	180	0.000	0.230	22.361	1.043	0.167	None	1	[251, 250, 249]	1.258	18.991	411	0.053	0.043	
chromium	1	light-strip	W	32	0.000	0.227	4.000	1.118	0.167	None	1	[251, 250, 249]	1.258	18.991	66	0.228	0.183	0.150
chromium	1	light-strip	W	48	0.000	0.228	6.000	1.202	0.167	None	1	[251, 250, 249]	1.258	18.991	91	0.149	0.118	
chromium	1	light-strip	fable	16	0.000	0.193	2.000	1.414	0.154	[2, 4]	1	[251, 250, 249]	1.258	16.522	28	0.378	0.284	0.150
chromium	1	light-strip	fable	180	0.000	0.194	22.361	1.073	0.157	None	1	[251, 250, 249]	1.258	18.991	306	0.046	0.035	
chromium	1	light-strip	fable	32	0.000	0.192	4.000	1.118	0.160	None	1	[251, 250, 249]	1.258	18.991	57	0.228	0.180	0.150
chromium	1	light-strip	fable	48	0.000	0.194	6.000	1.202	0.158	None	1	[251, 250, 249]	1.258	18.991	82	0.157	0.126	
chromium	1	light-strip	main	16	0.000	0.521	2.828	2.236	0.202	[2, 2]	2	[250, 248, 245]	1.237	16.077	50	0.289	0.202	0
chromium	1	light-strip	main	180	0.000	0.522	27.857	2.315	0.170	None	2	[250, 248, 245]	1.237	16.077	531	0.030	0.024	
