arm | regime | theme | ground | engine | coarse | boardPx | median | worst | frac<3 | sens90 worst (n<3) | sens70
B-two-0.95 | phone-390x844-dpr3-coarse | dark | paper | chromium | True | 366 | 3.084 | 3.084 | 0 | 2.728 (7/60) | 2.12 (22/60)
B-two-0.95 | phone-390x844-dpr3-coarse | dark | paper | webkit | True | 366 | 3.096 | 3.09 | 0 | 2.768 (8/60) | 2.16 (24/60)
B-two-0.95 | phone-390x844-dpr3-coarse | light | FRAME | chromium | True | 366 | 3.368 | 3.326 | 0 | 2.974 (1/43) | 2.28 (14/60)
B-two-0.95 | phone-390x844-dpr3-coarse | light | FRAME | webkit | True | 366 | 3.353 | 3.316 | 0 | 2.969 (1/43) | 2.334 (16/60)
B-two-0.95 | phone-390x844-dpr3-coarse | light | paper | chromium | True | 366 | 3.368 | 3.326 | 0 | 2.937 (2/60) | 2.313 (18/60)
B-two-0.95 | phone-390x844-dpr3-coarse | light | paper | webkit | True | 366 | 3.353 | 3.32 | 0 | 2.96 (1/60) | 2.253 (19/60)
C-two-1.0 | desk-dpr1-fine | dark | FRAME | chromium | False | 640 | 3.28 | 3.28 | 0 | 2.911 (3/60) | 2.326 (30/60)
C-two-1.0 | desk-dpr1-fine | dark | FRAME | webkit | False | 640 | 3.28 | 3.28 | 0 | 2.95 (1/60) | 2.335 (31/60)
C-two-1.0 | desk-dpr1-fine | dark | paper | chromium | False | 640 | 3.28 | 3.28 | 0 | 2.938 (2/60) | 2.198 (31/60)
C-two-1.0 | desk-dpr1-fine | dark | paper | webkit | False | 640 | 3.28 | 3.28 | 0 | 2.95 (5/60) | 2.263 (33/60)
C-two-1.0 | desk-dpr1-fine | light | FRAME | chromium | False | 640 | 3.581 | 3.569 | 0 | 3.129 (0/39) | 2.369 (14/60)
C-two-1.0 | desk-dpr1-fine | light | FRAME | webkit | False | 640 | 3.581 | 3.569 | 0 | 3.12 (0/39) | 2.366 (10/60)
C-two-1.0 | desk-dpr1-fine | light | paper | chromium | False | 640 | 3.581 | 3.581 | 0 | 3.091 (0/60) | 2.366 (24/60)
C-two-1.0 | desk-dpr1-fine | light | paper | webkit | False | 640 | 3.581 | 3.581 | 0 | 3.239 (0/60) | 2.361 (24/60)
C-two-1.0 | desk-dpr2-fine | dark | FRAME | chromium | False | 640 | 3.28 | 3.28 | 0 | 2.905 (6/60) | 2.203 (35/60)
C-two-1.0 | desk-dpr2-fine | dark | FRAME | webkit | False | 640 | 3.28 | 3.28 | 0 | 2.905 (8/60) | 2.199 (29/60)
C-two-1.0 | desk-dpr2-fine | dark | paper | chromium | False | 640 | 3.28 | 3.28 | 0 | 2.911 (4/60) | 2.198 (16/60)
C-two-1.0 | desk-dpr2-fine | dark | paper | webkit | False | 640 | 3.28 | 3.28 | 0 | 2.905 (9/60) | 2.225 (29/60)
C-two-1.0 | desk-dpr2-fine | light | FRAME | chromium | False | 640 | 3.581 | 3.55 | 0 | 3.091 (0/40) | 2.366 (16/60)
C-two-1.0 | desk-dpr2-fine | light | FRAME | webkit | False | 640 | 3.581 | 2.891 | 0.017 | 3.16 (0/39) | 2.366 (11/60)
C-two-1.0 | desk-dpr2-fine | light | paper | chromium | False | 640 | 3.581 | 3.581 | 0 | 3.129 (0/60) | 2.361 (14/60)
C-two-1.0 | desk-dpr2-fine | light | paper | webkit | False | 640 | 3.581 | 3.581 | 0 | 3.12 (0/60) | 2.39 (19/60)
C-two-1.0 | desk-dpr3-fine | dark | FRAME | chromium | False | 640 | 3.28 | 3.28 | 0 | 2.911 (1/60) | 2.263 (16/60)
C-two-1.0 | desk-dpr3-fine | dark | FRAME | webkit | False | 640 | 3.28 | 3.268 | 0 | 2.905 (3/60) | 2.233 (20/60)
C-two-1.0 | desk-dpr3-fine | dark | paper | chromium | False | 640 | 3.28 | 3.28 | 0 | 2.905 (6/60) | 2.198 (25/60)
C-two-1.0 | desk-dpr3-fine | dark | paper | webkit | False | 640 | 3.28 | 3.28 | 0 | 2.905 (6/60) | 2.203 (20/60)
C-two-1.0 | desk-dpr3-fine | light | FRAME | chromium | False | 640 | 3.581 | 3.569 | 0 | 3.129 (0/39) | 2.369 (9/60)
