LAW39 lane-p5geom    reduce chromi light               drawn ring             run2 n=60/60 med=4.188 worst=2.126 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.927 38/60 | 70% 2.561 17/60 | 90% 3.539 10/60 | 100% 4.188 12/60
LAW39 lane-p5geom    reduce chromi dark                drawn ring             run1 n=60/60 med=4.286 worst=2.489 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.426 45/60 | 70% 2.453 15/60 | 90% 3.642 8/60 | 100% 4.286 11/60
LAW39 lane-p5geom    reduce chromi dark                drawn ring             run2 n=60/60 med=4.286 worst=2.489 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.426 45/60 | 70% 2.453 15/60 | 90% 3.642 8/60 | 100% 4.286 11/60
ROW   lane-p5geom    no-pre webkit light 0.95 #3a7bc4  FRAME                  run n=60/60 med=3.965 worst=2.85 p30=3.297 frac=0.1 fracAll=0.1 vsIn med=3.615 worst=2.161 ring=True d=1.414 | 50% 2.045 50/60 | 70% 2.497 8/60 | 90% 3.92 21/60 | 100% 3.965 21/60
ROW   lane-p5geom    no-pre webkit light 0.95 #3a7bc4  paper                  run n=60/60 med=3.965 worst=3.965 p30=3.965 frac=0 fracAll=0 vsIn med=3.615 worst=2.683 ring=True d=1.414 | 50% 1.888 18/60 | 70% 3.075 0/60 | 90% 3.4 0/60 | 100% 3.965 0/60
ROW   lane-p5geom    no-pre webkit light 0.95 #4589d2  FRAME                  run n=60/60 med=3.353 worst=2.788 p30=3.353 frac=0.05 fracAll=0.05 vsIn med=3.084 worst=2.071 ring=True d=1.414 | 50% 1.581 46/60 | 70% 2.257 35/60 | 90% 3.051 11/60 | 100% 3.353 21/60
ROW   lane-p5geom    no-pre webkit light 0.95 #4589d2  paper                  run n=60/60 med=3.353 worst=3.353 p30=3.353 frac=0 fracAll=0 vsIn med=3.084 worst=2.361 ring=True d=1.414 | 50% 1.754 21/60 | 70% 2.766 11/60 | 90% 2.929 5/60 | 100% 3.353 0/60
ROW   lane-p5geom    no-pre webkit light 1    #3a7bc4  FRAME                  run n=60/60 med=4.289 worst=2.98 p30=4.289 frac=0.1 fracAll=0.1 vsIn med=3.911 worst=1.965 ring=True d=0 | 50% 2.057 50/60 | 70% 2.653 7/60 | 90% 3.627 9/60 | 100% 4.289 12/60
ROW   lane-p5geom    no-pre webkit light 1    #3a7bc4  paper                  run n=60/60 med=4.289 worst=4.289 p30=4.289 frac=0 fracAll=0 vsIn med=3.911 worst=2.097 ring=True d=0 | 50% 1.956 18/60 | 70% 3.471 0/60 | 90% 3.632 0/60 | 100% 4.289 0/60
ROW   lane-p5geom    no-pre webkit light 1    #4589d2  FRAME                  run n=60/60 med=3.581 worst=2.891 p30=3.581 frac=0.067 fracAll=0.067 vsIn med=3.294 worst=2.175 ring=True d=0 | 50% 1.756 34/60 | 70% 2.386 24/60 | 90% 3.12 13/60 | 100% 3.581 17/60
ROW   lane-p5geom    no-pre webkit light 1    #4589d2  paper                  run n=60/60 med=3.581 worst=3.581 p30=3.581 frac=0 fracAll=0 vsIn med=3.294 worst=1.887 ring=True d=0 | 50% 1.798 19/60 | 70% 2.948 1/60 | 90% 3.12 0/60 | 100% 3.581 0/60
ROW   lane-p5geom    no-pre webkit dark  0.95 #3a7bc4  FRAME                  run n=60/60 med=3.997 worst=2.404 p30=3.989 frac=0.1 fracAll=0.1 vsIn med=3.695 worst=1.708 ring=True d=1 | 50% 1.435 51/60 | 70% 2.625 7/60 | 90% 3.492 9/60 | 100% 3.997 21/60
ROW   lane-p5geom    no-pre webkit dark  0.95 #3a7bc4  paper                  run n=60/60 med=3.997 worst=3.997 p30=3.997 frac=0 fracAll=0 vsIn med=3.695 worst=2.755 ring=True d=1 | 50% 1.872 21/60 | 70% 3.347 0/60 | 90% 3.461 0/60 | 100% 3.997 0/60
