ROW   lane-graft     no-pre webkit light 0.95 #3a7bc4  paper                  run n=60/60 med=3.965 worst=3.92 p30=3.965 frac=0 fracAll=0 vsIn med=3.615 worst=1.403 ring=True d=1.414 | 50% 1.892 32/60 | 70% 2.474 19/60 | 90% 3.534 0/60 | 100% 3.965 6/60
ROW   lane-graft     no-pre webkit light 0.95 #4589d2  FRAME                  run n=60/60 med=3.353 worst=1.402 p30=3.353 frac=0.033 fracAll=0.033 vsIn med=3.084 worst=1.034 ring=True d=1.414 | 50% 1.739 39/60 | 70% 2.25 24/60 | 90% 2.901 23/60 | 100% 3.32 22/60
ROW   lane-graft     no-pre webkit light 0.95 #4589d2  paper                  run n=60/60 med=3.353 worst=3.316 p30=3.353 frac=0 fracAll=0 vsIn med=3.084 worst=1.339 ring=True d=1.414 | 50% 1.754 36/60 | 70% 2.25 29/60 | 90% 3.011 0/60 | 100% 3.353 9/60
ROW   lane-graft     no-pre webkit light 1    #3a7bc4  FRAME                  run n=60/60 med=4.289 worst=1.463 p30=2.98 frac=0.333 fracAll=0.333 vsIn med=3.911 worst=1.227 ring=True d=0 | 50% 1.952 42/60 | 70% 2.624 30/60 | 90% 3.668 20/60 | 100% 4.289 20/60
ROW   lane-graft     no-pre webkit light 1    #3a7bc4  paper                  run n=60/60 med=4.289 worst=4.289 p30=4.289 frac=0 fracAll=0 vsIn med=3.911 worst=1.414 ring=True d=0 | 50% 1.956 28/60 | 70% 2.624 10/60 | 90% 3.627 0/60 | 100% 4.289 0/60
ROW   lane-graft     no-pre webkit light 1    #4589d2  FRAME                  run n=60/60 med=3.581 worst=1.112 p30=3.569 frac=0.033 fracAll=0.033 vsIn med=3.294 worst=1.171 ring=True d=0 | 50% 1.816 37/60 | 70% 2.361 21/60 | 90% 3.12 20/60 | 100% 3.581 20/60
ROW   lane-graft     no-pre webkit light 1    #4589d2  paper                  run n=60/60 med=3.581 worst=3.581 p30=3.581 frac=0 fracAll=0 vsIn med=3.294 worst=1.347 ring=True d=0 | 50% 1.817 35/60 | 70% 2.361 24/60 | 90% 3.239 0/60 | 100% 3.581 0/60
ROW   lane-graft     no-pre webkit dark  0.95 #3a7bc4  FRAME                  run n=60/60 med=3.997 worst=1.036 p30=2.404 frac=0.333 fracAll=0.333 vsIn med=3.695 worst=1.063 ring=True d=1 | 50% 1.233 43/60 | 70% 2.586 32/60 | 90% 3.492 20/60 | 100% 3.997 30/60
ROW   lane-graft     no-pre webkit dark  0.95 #3a7bc4  paper                  run n=60/60 med=3.997 worst=3.989 p30=3.997 frac=0 fracAll=0 vsIn med=3.695 worst=1.364 ring=True d=1 | 50% 1.872 30/60 | 70% 2.586 14/60 | 90% 3.454 0/60 | 100% 3.997 9/60
ROW   lane-graft     no-pre webkit dark  0.95 #2f68aa  FRAME                  run n=60/60 med=3.09 worst=1.806 p30=3.082 frac=0.033 fracAll=0.033 vsIn med=2.91 worst=1.242 ring=True d=2 | 50% 1.124 52/60 | 70% 2.127 47/60 | 90% 2.731 19/60 | 100% 3.09 20/60
