
  ctrlMin  48x44                  | 80.41x44               | 80.41x44
  givens-equal true

## webkit sudoku 390x844-coarse (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     219.3                  | 242.23                 | 242.23
  lines    1+1+1+1                | 1+1+1+1                | 1+1+1+1
  tapeH2   —                      | —                      | —
  g3       450.11/739.22          | 440.27/739.22          | 440.27/739.22
  g3b      pencils:ok             | pencils:ok             | pencils:ok
  die      —                      | —                      | —
  chipInk  —                      | —                      | —
  base     0                      | 30.38                  | 30.38
  clear    7.19                   | -73.56                 | -73.56
  cut      0                      | 0                      | 0
  armed    0/7.19                 | 30.38/-73.56           | 30.38/-73.56
  card     390/12                 | 390/12                 | 390/12
  sw       390/390                | 390/390                | 390/390
  scrollH  653                    | 699                    | 699
  btn      64x70.39               | 56x70.39               | 56x70.39
  rowH     85.48                  | 118.27                 | 118.27
  wrapH    629                    | 675                    | 675
  givens                          |                        | 
  aa       4.66/—/—/5.24/4.66     | 4.66/—/—/5.24/4.66     | 4.66/—/—/5.24/4.66
  ctrlMin  44x44                  | 48.63x44               | 48.63x44
  givens-equal true

## webkit futoshiki 1280x800-fine (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     304.23                 | 549.34                 | 549.34
  lines    1+1                    | 4+3                    | 4+3
  tapeH2   14.72                  | 2.19                   | 2.19
  g3       466.8/595.34           | 679.13/595.34          | 679.13/595.34
  g3b      pencils:ok             | pencils:under          | pencils:under
  die      1.5                    | —                      | —
  chipInk  0                      | —                      | —
  base     0                      | 33.58                  | 33.58
  clear    7.19                   | -81.15                 | -81.15
  cut      0                      | 0                      | 0
  armed    0/7.19                 | 33.58/-81.15           | 33.58/-81.15
  card     332.31/125.84          | 332.31/125.84          | 332.31/125.84
  sw       326/326                | 326/326                | 326/326
  scrollH  793                    | 1188                   | 1188
  btn      60x72.8                | 71.19x72.8             | 71.19x72.8
  rowH     87.89                  | 120.67                 | 120.67
  wrapH    717                    | 1112                   | 1112
  givens                          |                        | 
  aa       4.66/4.98/4.98/5.24/4.66 | 1/4.98/4.98/5.24/4.66  | 1/4.98/4.98/5.24/4.66
  ctrlMin  42.56x38               | 134.56x38              | 134.56x38
  givens-equal true

## webkit futoshiki 1024x768-fine (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     303.59                 | 548.7                  | 548.7
  lines    1+1                    | 4+3                    | 4+3
  tapeH2   14.72                  | 2.22                   | 2.22
  g3       466.61/564.34          | 678.94/564.34          | 678.94/564.34
  g3b      pencils:ok             | pencils:under          | pencils:under
  die      1                      | —                      | —
  chipInk  0                      | —                      | —
  base     0.01                   | 33.25                  | 33.25
  clear    7.19                   | -80.54                 | -80.54
  cut      0                      | 0                      | 0
  armed    0.01/7.19              | 33.25/-80.54           | 33.25/-80.54
  card     323.59/18.2            | 323.59/18.2            | 323.59/18.2
  sw       318/318                | 318/318                | 318/318
  scrollH  792                    | 1185                   | 1185
  btn      60x72.16               | 71.19x72.16            | 71.19x72.16
  rowH     87.25                  | 120.03                 | 120.03
  wrapH    716                    | 1109                   | 1109
  givens                          |                        | 
  aa       4.66/4.98/4.98/5.24/4.66 | 1/4.98/4.98/5.24/4.66  | 1/4.98/4.98/5.24/4.66
  ctrlMin  42.56x38               | 130.2x38               | 130.2x38
  givens-equal true

## webkit futoshiki 1440x900-fine (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     304.63                 | 549.73                 | 549.73
  lines    1+1                    | 4+3                    | 4+3
  tapeH2   14.73                  | 2.17                   | 2.17
  g3       500.91/660.73          | 713.23/660.73          | 713.23/660.73
  g3b      pencils:ok             | pencils:under          | pencils:under
  die      1                      | —                      | —
  chipInk  0                      | —                      | —
  base     0                      | 33.78                  | 33.78
  clear    7.19                   | -81.54                 | -81.54
  cut      0                      | 0                      | 0
  armed    0/7.19                 | 33.78/-81.59           | 33.78/-81.59
  card     338/187                | 338/187                | 338/187
  sw       332/332                | 332/332                | 332/332
  scrollH  794                    | 1190                   | 1190
  btn      60x73.19               | 71.19x73.19            | 71.19x73.19
  rowH     88.28                  | 121.06                 | 121.06
  wrapH    718                    | 1114                   | 1114
  givens                          |                        | 
  aa       4.66/4.98/4.98/5.24/4.66 | 17.2/4.98/4.98/5.24/4.66 | 17.2/4.98/4.98/5.24/4.66
  ctrlMin  42.56x38               | 137.41x38              | 137.41x38
  givens-equal true

## webkit futoshiki 1280x800-coarse (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     412.2                  | 584.94                 | 584.94
  lines    2+2                    | 4+3                    | 4+3
  tapeH2   14.72                  | 2.19                   | 2.19
  g3       574.77/578.34          | 714.72/578.34          | 714.72/578.34
  g3b      pencils:under          | pencils:under          | pencils:under
