base-chromium-1280-plain | #3 | D->L | flip+0 | half+134 out@half=0.9471 | land+368 | crest 1.0919@+542.49 (c-l 174) | ho 1@+1042 | born 0.2226 | dS 0.14 | transl 29 both 11 | given 1.06@0 u3=8 0..93 | user 1.02@110 u3=8 67..184 | dt med 8.4 max 33.5 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-chromium-1280-rev | #0 | L->L | flip+3 | half+3 out@half=1 | land+820 | crest 1.0652@+452.99 (c-l -367) | ho - | born 0.7771 | dS 0.29 | transl 35 both 18 | given 1.04@61 u3=16 3..552 | user 1.02@568 u3=19 3..643 | dt med 8.4 max 184.9 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-chromium-1280-rev | #1 | L->L | flip+16 | half+16 out@half=1 | land+800 | crest 1.0598@+439.99 (c-l -360) | ho - | born 0.7855 | dS 0.27 | transl 38 both 20 | given 1.03@50 u3=18 16..533 | user 1.01@107 u3=22 16..625 | dt med 8.3 max 166.6 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-chromium-390t-plain | #0 | L->D | flip+6 | half+156 out@half=0.9095 | land+348 | crest 1.0919@+530.8 (c-l 183) | ho 1@+1031 | born 0.2154 | dS 0.23 | transl 42 both 23 | given 1.04@39 u3=10 6..104 | user 1.01@98 u3=11 6..156 | dt med 8.3 max 51.5 | btnMut 0 | settleTf none
base-chromium-390t-plain | #1 | D->L | flip+6 | half+122 out@half=0.9464 | land+348 | crest 1.0919@+530.20 (c-l 182) | ho 1@+1031 | born 0.2185 | dS 0.04 | transl 50 both 28 | given 1.06@6 u3=10 6..81 | user 1.05@96 u3=16 48..173 | dt med 8.3 max 10 | btnMut 0 | settleTf none
base-chromium-390t-plain | #2 | L->D | flip+5 | half+122 out@half=0.9459 | land+347 | crest 1.0919@+529.9 (c-l 183) | ho 1@+1030 | born 0.2223 | dS 0.04 | transl 49 both 27 | given 1.04@47 u3=14 5..113 | user 1.01@97 u3=19 5..155 | dt med 8.3 max 16.8 | btnMut 0 | settleTf none
base-chromium-390t-plain | #3 | D->L | flip+6 | half+122 out@half=0.9469 | land+347 | crest 1.0919@+529.80 (c-l 182) | ho 1@+1031 | born 0.2145 | dS 0.05 | transl 48 both 27 | given 1.06@6 u3=9 6..80 | user 1.04@97 u3=16 47..171 | dt med 8.3 max 16.3 | btnMut 0 | settleTf none
base-webkit-1280-plain | #0 | L->D | flip+50 | half+487 out@half=0 | land+487 | crest 1.0915@+555 (c-l 68) | ho 1@+1040 | born 1.0835 | dS 0.01 | transl 8 both 0 | given 1.02@50 u3=1 50..50 | user 2.19@50 u3=1 50..50 | dt med 17 max 437 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-webkit-1280-plain | #1 | D->L | flip+80 | half+168 out@half=0.9318 | land+391 | crest 1.0918@+571 (c-l 180) | ho 1@+1060 | born 0.1797 | dS 0.19 | transl 14 both 8 | given 1.35@80 u3=1 80..80 | user 1.03@128 u3=4 80..195 | dt med 18 max 48 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-webkit-1280-plain | #2 | L->D | flip+66 | half+162 out@half=0.9205 | land+374 | crest 1.0919@+542 (c-l 168) | ho 1@+1044 | born 0.2046 | dS 0.21 | transl 13 both 7 | given 1.07@66 u3=2 66..117 | user 1.08@117 u3=3 66..162 | dt med 17 max 51 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-webkit-1280-plain | #3 | D->L | flip+60 | half+146 out@half=0.9444 | land+378 | crest 1.0918@+547 (c-l 169) | ho 1@+1050 | born 0.3093 | dS 0.16 | transl 14 both 8 | given 1.19@60 u3=2 60..106 | user 1.39@106 u3=3 106..183 | dt med 18 max 46 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-webkit-1280-rev | #0 | L->L | flip+40 | half+40 out@half=0.9933 | land+876 | crest 1.0891@+504 (c-l -372) | ho - | born 1.0664 | dS 0.16 | transl 13 both 7 | given 1.05@40 u3=3 40..574 | user 1.23@607 u3=6 40..663 | dt med 23 max 405 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-webkit-1280-rev | #1 | L->L | flip+48 | half+48 out@half=0.9933 | land+576 | crest 0.7@+239 (c-l -337) | ho - | born 0.2483 | dS 0.15 | transl 27 both 19 | given 1.05@48 u3=5 48..313 | user 1.03@339 u3=10 48..410 | dt med 17 max 64 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-webkit-390t-plain | #0 | L->D | flip+71 | half+345 out@half=0.2287 | land+391 | crest 1.0919@+548 (c-l 157) | ho 1@+1048 | born 0.94 | dS 0.07 | transl 8 both 1 | given 1.12@71 u3=1 71..71 | user 1.92@71 u3=1 71..71 | dt med 17 max 274 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-webkit-390t-plain | #1 | D->L | flip+68 | half+140 out@half=0.9479 | land+378 | crest 1.0918@+546 (c-l 168) | ho 1@+1046 | born 0.1947 | dS 0.1 | transl 23 both 14 | given 1.33@68 u3=2 68..91 | user 1.04@120 u3=8 68..190 | dt med 17 max 29 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-webkit-390t-plain | #2 | L->D | flip+49 | half+132 out@half=0.9488 | land+357 | crest 1.0919@+542 (c-l 185) | ho 1@+1042 | born 0.1797 | dS 0.11 | transl 25 both 15 | given 1.05@49 u3=4 49..110 | user 1.02@110 u3=8 49..166 | dt med 17 max 28 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-webkit-390t-plain | #3 | D->L | flip+41 | half+150 out@half=0.9453 | land+384 | crest 1.0918@+551 (c-l 167) | ho 1@+1067 | born 0.2242 | dS 0.09 | transl 25 both 14 | given 1.06@41 u3=5 41..100 | user 1.19@133 u3=7 84..185 | dt med 17 max 32 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
